     1→     1→// ══════════════════════════════════════════════════════════════════
     2→     2→// MIANX.AI — Development Seed Data
     3→     3→// Run: bun run src/database/seeds/seed.ts
     4→     4→// ══════════════════════════════════════════════════════════════════
     5→     5→
     6→     6→import { PrismaClient } from '@prisma/client'
     7→     7→
     8→     8→const prisma = new PrismaClient()
     9→     9→
    10→    10→async function main() {
    11→    11→  console.log('🌱 Seeding Mianx.ai development data...')
    12→    12→
    13→    13→  // ── Clear existing (order matters for FK constraints) ──
    14→    14→  await prisma.membershipRole.deleteMany()
    15→    15→  await prisma.rolePermission.deleteMany()
    16→    16→  await prisma.teamMember.deleteMany()
    17→    17→  // Billing tables (depend on Organization, Plan, Subscription)
    18→    18→  await prisma.usageRecord.deleteMany()
    19→    19→  await prisma.invoice.deleteMany()
    20→    20→  await prisma.subscription.deleteMany()
    21→    21→  await prisma.planVersion.deleteMany()
    22→    22→  await prisma.plan.deleteMany()
    23→    23→  await prisma.feature.deleteMany()
    24→    24→  await prisma.usageMeter.deleteMany()
    25→    25→  // Integration tables (depend on Organization)
    26→    26→  await prisma.webhookDelivery.deleteMany()
    27→    27→  await prisma.webhook.deleteMany()
    28→    28→  await prisma.apiKey.deleteMany()
    29→    29→  await prisma.oAuthConnection.deleteMany()
    30→    30→  // Automation tables (depend on Organization)
    31→    31→  await prisma.workflowStepRun.deleteMany()
    32→    32→  await prisma.approval.deleteMany()
    33→    33→  await prisma.workflowRun.deleteMany()
    34→    34→  await prisma.workflow.deleteMany()
    35→    35→  await prisma.job.deleteMany()
    36→    36→  await prisma.event.deleteMany()
    37→    37→  // AI tables (depend on Organization)
    38→    38→  await prisma.aiMessage.deleteMany()
    39→    39→  await prisma.conversation.deleteMany()
    40→    40→  await prisma.agentConfig.deleteMany()
    41→    41→  // Poultry tables (depend on Organization)
    42→    42→  await prisma.poultrySale.deleteMany()
    43→    43→  await prisma.poultryCustomer.deleteMany()
    44→    44→  await prisma.poultryProcurement.deleteMany()
    45→    45→  await prisma.poultryProductionRecord.deleteMany()
    46→    46→  await prisma.poultryMortalityRecord.deleteMany()
    47→    47→  await prisma.poultryHealthRecord.deleteMany()
    48→    48→  await prisma.poultryFeedRecord.deleteMany()
    49→    49→  await prisma.poultryFlock.deleteMany()
    50→    50→  await prisma.poultryShed.deleteMany()
    51→    51→  await prisma.poultryFarm.deleteMany()
    52→    52→  // Domain tables
    53→    53→  await prisma.organizationModule.deleteMany()
    54→    54→  await prisma.organizationDomain.deleteMany()
    55→    55→  await prisma.organizationMembership.deleteMany()
    56→    56→  await prisma.auditLog.deleteMany()
    57→    57→  await prisma.notification.deleteMany()
    58→    58→  await prisma.file.deleteMany()
    59→    59→  await prisma.setting.deleteMany()
    60→    60→  await prisma.team.deleteMany()
    61→    61→  await prisma.role.deleteMany()
    62→    62→  await prisma.permission.deleteMany()
    63→    63→  await prisma.module.deleteMany()
    64→    64→  await prisma.domain.deleteMany()
    65→    65→  await prisma.organization.deleteMany()
    66→    66→  await prisma.profile.deleteMany()
    67→    67→
    68→    68→  // ── Organizations ──
    69→    69→  const orgs = await Promise.all([
    70→    70→    prisma.organization.create({ data: { name: 'Poultry Farm Co', slug: 'poultry-farm-co', status: 'active', currency: 'PKR', timezone: 'Asia/Karachi', locale: 'ur' } }),
    71→    71→    prisma.organization.create({ data: { name: 'Fresh Restaurants', slug: 'fresh-restaurants', status: 'active', currency: 'USD', timezone: 'America/New_York' } }),
    72→    72→    prisma.organization.create({ data: { name: 'Test Organization', slug: 'test-organization', status: 'trial', currency: 'EUR', timezone: 'Europe/Berlin' } }),
    73→    73→  ])
    74→    74→  console.log(`  ✓ Created ${orgs.length} organizations`)
    75→    75→
    76→    76→  // ── Profiles ──
    77→    77→  const profiles = await Promise.all([
    78→    78→    prisma.profile.create({ data: { userId: 'user-admin-001', displayName: 'Ali Khan', locale: 'ur', timezone: 'Asia/Karachi' } }),
